0,"{'ETP': 0.0, 'IIaMax': 0.0, 'tauMax': 0.0}"
1,"{'ETP': 67690.53, 'IIaMax': 651.13, 'tauMax': 268.54}"
5,"{'ETP': 68672.86, 'IIaMax': 664.2, 'tauMax': 202.4}"
15,"{'ETP': 69086.36, 'IIaMax': 669.97, 'tauMax': 170.34}"
50,"{'ETP': 69356.02, 'IIaMax': 672.06, 'tauMax': 146.29}"
100,"{'ETP': 69459.15, 'IIaMax': 673.4, 'tauMax': 138.28}"
