FXII_(%),Experiments,Chatterjee_initial,Chatterjee_modifi
100,100,100,100
50,99.2,100.1,99.8
15,92.7,100.1,99.3
5,86.4,100,98.5
1,78.4,99.9,96.5
0,25.2,99.9,0
