FXII_(%),Experiments,Chatterjee_initial,Chatterjee_modifi
100,100,100,100
50,107.7,99.9,99.8
15,103.3,99.8,99.4
5,96,99.8,98.8
1,88.9,99.8,97.3
0,64.8,99.7,0
