FVIII_(%),Experiments,Chatterjee_initial,Chatterjee_modifi
100,100,100,100
50,107.8,97.2,98.8
15,110.9,91.6,94.9
5,105.36,86.7,88.6
1,103.14,82.5,74.8
0,82.2,80.8,34.8
