FVIII_(%),Experiments,Chatterjee_initial,Chatterjee_modifi
100,100,100,100
50,114.6,104.3,110
15,114.6,112.5,130.9
5,142.9,119.2,154.5
1,200.4,124.5,195.1
0,672.5,126.4,316.1
