FXI_(%),Experiments,Chatterjee_initial,Chatterjee_modifi
100,100,100,100
50,95.5,92.4,100.7
15,94.2,71.7,100.4
5,90.7,55.5,98.75
1,82.6,35,93.8
0,56.2,0,0
