FXI_(%),Experiments,Chatterjee_initial,Chatterjee_modifi
100,100,100,100
50,116.5,130.3,107.9
15,133.5,198.4,127.3
5,166.5,275.8,152.2
1,233.5,445.2,204.1
0,416.5,0,0
