FVIII_(%),Experiments,Hockin_initial,Hockin_modifi
100,100,100,100
50,60,68.2,72
15,32,27.6,31
5,17.7,9.1,15.6
1,10.5,1.7,6.4
0,7.2,0.5,4.2
